 TODO(ahundt) consider making image_model_weights shared vs separate configurable,DSTD
 Matrix multiplication based implementation of tf.gather on zeroth axis. ||  ||   TODO(rathodv): add runtime checks for depth and indices.,DSTD
 TODO: allow pre_clustering_routine to handle outliers,DSTD
 TODO: implement recall hooks for other datasets,DSTD
 TODO: why normal and not uniform?,DSTD
 TODO temp only has one filter map,DSTD
 TODO: should we do anything about isoforms?,DSTD
 TODO: mask shape is incorrect,DSTD
 TODO Every model must return a layer named 'logits',DSTD
 maybe irrelevant for COCO,DSTD
 TODO: replay_buffer refactoring,DSTD
 TODO: Move config in train\/test cfg.,DSTD
 TODO(kbanoop): Handle the case where some boxes in selected_boxes do not,DSTD
 TO-DO replace this with label map,DSTD
 TODO: How to handle this case? Is an empty classification acceptable? I think it is better than a fixed (and potentially misleading or incorrect classification,DSTD
 TODO: ``full_cov`` True would return a ``fvar`` of shape N x N x D x D,DSTD
 TODO SaltAndPepper,DSTD
 ToDo: only do this if verbosity is large enough,DSTD
" @todo: Estimation of x_min instead of the \""max\"" heuristic.",DSTD
 TODO: Non isotropic?,DSTD
 TODO clip_augmented_images(),DSTD
" TODO I shouldn't really be using \""decoded\"" for the validation set dir",DSTD
 fix RGB to BGR,DSTD
 larger is better,DSTD
 Given the name of a model architecture,DSTD
 TODO: set a function in wavernn code base for model setup and call it here.,DSTD
 TODO: reset canvas,DSTD
 TODO: InstanceNorm,DSTD
 # Fix TF 0.12,DSTD
 ''' ||     fit a poly inside the origin poly,DSTD
 'numpydoc',DSTD
 Split dataset in many part. If the dataset is too big,DSTD
 TODO : replace with json of wanted structures,DSTD
 If the signal dictionary pickled data was deleted because j1979 tagging needed to happen,DSTD
TODO Adjust num epochs to your dataset. This step is enough to obtain a not bad model.,DSTD
 TODO use all attributes,DSTD
 implement copy on buyers,DSTD
 TODO: setting different learning rates for different param groups unsupported,DSTD
 This is needed to display the images.,DSTD
  ||     TODO: ||         - [ ] Read arbitrary coco datasets here ||         - [ ] Do proper train \/ validation split ||         - [ ] Allow custom train \/ validation split ||,DSTD
 TODO: Double check what happens in this scenario with all actions,DSTD
 Compute how many unique nights of data taking existed around PEAKMJD,DSTD
 Dense neural network layer. ||  ||     TODO ||  ||     .. admonition:: Will not use flipout when n_mc>1 ||  ||         Note that this module uses the flipout estimator by default,DSTD
 TODO: Batch translation,DSTD
  ||     TODO: ||         - [ ] set this up as its own script ||         - [ ] find a way to generalize the Evaluator concept using the Predictor. ||  ||     Notes: ||         scores to beat: http:\/\/mi.eng.cam.ac.uk\/projects\/segnet\/tutorial.html ||         basic pixel_acc=82.8% class_acc=62.3% mean_iou=46.3% ||         best pixel_acc=88.6% class_acc=81.3% mean_iou=69.1% ||         Segnet (3.5K dataset) 86.8%,DSTD
 We can better observe the process of model training with plots.,DSTD
  ||  || Random Forest evaluation. ||  || Usage: ||   random_forest.py [--whole] [--male] [--threshold] [--leave-site-out] [<derivative> ...] ||   random_forest.py (-h | --help) ||  || Options: ||   -h --help           Show this screen ||   --whole             Run model for the whole dataset ||   --male              Run model for male subjects ||   --threshold         Run model for thresholded subjects ||   --leave-site-out    Prepare data using leave-site-out method ||   derivative          Derivatives to process ||  || TODO,DSTD
 Indicate that data has been processed; Indices no longer needed,DSTD
 TODO(luxuhui@xiaomi.com): read data from yml config,DSTD
 seed is used to fix the RNG state when calling a model.,DSTD
 copy over the needed information,DSTD
 TODO: use InstanceNorm,DSTD
 Todo: We might need a compressed sparse row graph (i.e. adjacency array),DSTD
" \""Worker is cori. Overriding n_jobs to {}\"".format(n_cori_jobs))",DSTD
 Compute neighbors of cells in grid. ||  ||     # TODO(rbharath): Do we need to handle periodic boundary conditions ||     properly here? ||     # TODO(rbharath): This doesn't handle boundaries well. We hard-code ||     # looking for n_nbr_cells neighbors,DSTD
  ||     Ordinal encoder that ignores missing values encountered after training. ||     Workaround for issue: scikit-learn\/scikit-learn#11997 ||,DSTD
 TODO: make fast_rcnn irrelevant,DSTD
 TODO Make all of these sklearn estimators,DSTD
 TODO spans are none when indices and token boundaries don't line up.,DSTD
 TODO: Why re-processed that at each epoch ? Could precompute that,DSTD
 convert structure to an array-based format for efficient processing,DSTD
 specify the loss by what you really care,DSTD
 TODO rectify pixel gap issue,DSTD
 TODO: make fast_rcnn irrelevant,DSTD
 FIXME: refactor and make less convoluted,DSTD
 TODO(wakisaka): The main process is the same as _post_process(),DSTD
 TODO(jonathanhuang): investigate whether all channels can be processed,DSTD
 TODO: make the zero and one preds more user-friendly,DSTD
 Workaround for Keras issue #1406,DSTD
 TODO: deal with the same name but different groups?,DSTD
 in the future: estimate the multiplicity (currently fixed 1.3\/2.3) based on A_obs.nnz,DSTD
 [ToDo] If we do not use moving average on loss??,DSTD
 FIXME: we should support dense matrices natively,DSTD
